iter	Passed	Remaining
891	62914	7617
892	62995	7548
893	63077	7478
894	63146	7408
895	63219	7338
896	63287	7267
897	63358	7196
898	63424	7125
899	63488	7054
900	63557	6983
901	63626	6912
902	63725	6845
903	63822	6777
904	63912	6709
905	63975	6637
906	64038	6566
907	64102	6494
908	64174	6424
909	64269	6356
910	64345	6286
911	64429	6216
912	64505	6146
913	64573	6075
914	64638	6004
915	64705	5933
916	64772	5862
917	64840	5791
918	64901	5720
919	64966	5649
920	65056	5580
921	65127	5509
922	65194	5438
923	65264	5368
924	65335	5297
925	65399	5226
926	65465	5155
927	65531	5084
928	65595	5013
929	65655	4941
930	65719	4870
931	65781	4799
932	65845	4728
933	65919	4658
934	65991	4587
935	66055	4516
936	66129	4446
937	66193	4375
938	66264	4304
939	66332	4233
940	66400	4163
941	66466	4092
942	66530	4021
943	66599	3950
944	66663	3879
945	66733	3809
946	66803	3738
947	66872	3668
948	66941	3597
949	67013	3527
950	67081	3456
951	67152	3385
952	67217	3315
953	67291	3244
954	67363	3174
955	67434	3103
956	67506	3033
957	67576	2962
958	67641	2891
959	67704	2821
960	67768	2750
961	67850	2680
962	67935	2610
963	68004	2539
964	68080	2469
965	68153	2398
966	68232	2328
967	68304	2258
968	68378	2187
969	68450	2117
970	68552	2047
971	68638	1977
972	68702	1906
973	68767	1835
974	68830	1764
975	68900	1694
976	68984	1623
977	69068	1553
978	69140	1483
979	69216	1412
980	69286	1341
981	69354	1271
982	69418	1200
983	69488	1129
984	69584	1059
985	69677	989
986	69746	918
987	69813	847
988	69884	777
989	69959	706
990	70032	636
991	70106	565
992	70176	494
993	70245	424
994	70311	353
995	70378	282
996	70441	211
997	70508	141
998	70576	70
999	70646	0
