iter	Logloss
0	0.6765464381
1	0.6609008789
2	0.6454124852
3	0.6301838523
4	0.6154808446
5	0.6009418688
6	0.5876957944
7	0.5745301096
8	0.5614608363
9	0.548731834
10	0.5364836843
11	0.5241169177
12	0.5125551726
13	0.5015551115
14	0.4899881463
15	0.479201628
16	0.4694254825
17	0.4597225792
18	0.4500760129
19	0.4405004803
20	0.4315030148
21	0.4230064794
22	0.414160598
23	0.4061993248
24	0.398454365
25	0.3904185245
26	0.3832281012
27	0.3761640047
28	0.3692880329
29	0.3624605681
30	0.355880657
31	0.3492555317
32	0.3426064742
33	0.3363049156
34	0.330579316
35	0.3250126889
36	0.3190524854
37	0.3138234189
38	0.3086122613
39	0.3036690963
40	0.2989258214
41	0.2936861741
42	0.2887145193
43	0.2843847576
44	0.2801749581
45	0.2758201398
46	0.2715966074
47	0.2676145052
48	0.2631029029
49	0.2595460189
