iter	Passed	Remaining
408	4655	6727
409	4667	6716
410	4675	6699
411	4685	6686
412	4698	6678
413	4706	6661
414	4715	6646
415	4726	6635
416	4734	6619
417	4744	6605
418	4755	6594
419	4767	6584
420	4775	6568
421	4787	6557
422	4799	6546
423	4807	6530
424	4818	6519
425	4828	6505
426	4836	6490
427	4846	6476
428	4858	6466
429	4868	6453
430	4877	6439
431	4887	6426
432	4897	6412
433	4905	6398
434	4916	6385
435	4924	6369
436	4932	6354
437	4940	6339
438	4953	6330
439	4965	6320
440	4977	6308
441	4986	6295
442	4998	6284
443	5012	6277
444	5022	6263
445	5037	6257
446	5048	6245
447	5056	6230
448	5067	6218
449	5083	6213
450	5091	6198
451	5101	6185
452	5114	6175
453	5124	6163
454	5134	6150
455	5148	6142
456	5158	6128
457	5165	6113
458	5178	6104
459	5188	6090
460	5197	6077
461	5206	6063
462	5217	6051
463	5229	6040
464	5240	6029
465	5249	6015
466	5258	6001
467	5266	5986
468	5276	5973
469	5286	5961
470	5294	5946
471	5305	5935
472	5318	5926
473	5328	5912
474	5336	5898
475	5346	5886
476	5354	5871
477	5363	5856
478	5374	5845
479	5381	5829
480	5389	5815
481	5395	5798
482	5401	5782
483	5408	5766
484	5414	5749
485	5420	5733
486	5428	5717
487	5436	5703
488	5444	5689
489	5452	5674
490	5460	5660
491	5466	5644
492	5476	5631
493	5483	5616
494	5493	5604
495	5507	5595
496	5514	5581
497	5522	5567
498	5533	5555
499	5540	5540
500	5547	5525
501	5555	5511
502	5563	5496
503	5572	5483
504	5580	5469
505	5589	5456
506	5598	5443
507	5604	5428
508	5612	5413
509	5621	5401
510	5630	5387
511	5637	5372
512	5644	5358
513	5653	5345
514	5660	5330
515	5667	5316
516	5675	5302
517	5684	5289
518	5693	5276
519	5701	5262
520	5708	5248
521	5717	5235
522	5724	5221
523	5730	5205
524	5737	5190
525	5744	5176
526	5750	5161
527	5757	5146
528	5762	5130
529	5769	5116
530	5776	5102
531	5784	5088
532	5792	5075
533	5798	5060
534	5807	5047
535	5814	5033
536	5823	5020
537	5832	5008
538	5839	4994
539	5846	4980
540	5854	4966
541	5861	4952
542	5869	4939
543	5877	4926
544	5884	4912
545	5892	4899
546	5901	4887
547	5909	4873
548	5919	4862
549	5927	4850
550	5935	4836
