iter	Logloss
0	0.6734448885
1	0.6541373805
2	0.635740501
3	0.618246741
4	0.6012443944
5	0.5851618315
6	0.5692887557
7	0.5543028581
8	0.5396738153
9	0.524229913
10	0.5109139693
11	0.4975708811
12	0.4849806133
13	0.4724402177
14	0.4608481959
15	0.4492612337
16	0.4383220472
17	0.4272688213
18	0.4167699713
19	0.4072746678
20	0.3980351097
21	0.3891179938
22	0.3806051154
23	0.3708724574
24	0.3628845215
25	0.3550984433
26	0.3476095902
27	0.3405160603
28	0.3336444855
29	0.3269325056
30	0.3204042334
31	0.3140813727
32	0.3075883564
33	0.3017557847
34	0.2962133709
35	0.2896216342
36	0.2846411253
37	0.2794962833
38	0.274632986
39	0.2692527369
40	0.2643882551
41	0.2591108623
42	0.2549258985
43	0.2502204092
44	0.2464712243
45	0.2420054185
46	0.2381648817
47	0.2346485339
48	0.2305068367
49	0.2272035498
50	0.2237244255
51	0.2203981299
52	0.2175379101
53	0.2146716068
54	0.2117986177
55	0.2092449389
56	0.2063261735
57	0.2038949264
58	0.200963713
59	0.1986220912
60	0.1955982007
61	0.1933600576
62	0.1909958287
63	0.1887789676
64	0.1865936279
65	0.1846050463
66	0.1822718369
67	0.1799992009
68	0.1779180025
69	0.176123609
70	0.1740959569
71	0.172172968
72	0.170513394
73	0.1688247279
74	0.1671031651
75	0.1652975384
76	0.1638063531
77	0.162280675
78	0.1606614263
79	0.1591971046
80	0.1576758736
81	0.1558682994
82	0.1547034816
83	0.1534031918
84	0.152040602
85	0.1506433788
86	0.149238988
87	0.1478341554
88	0.146727572
89	0.1455922579
90	0.1442736776
91	0.1430184816
92	0.1419980702
93	0.1407906382
94	0.1398149691
95	0.138840575
96	0.1377778907
97	0.1369161706
98	0.1359157763
99	0.1350638841
100	0.1341420525
101	0.133346136
102	0.1324144665
103	0.1314838108
104	0.1307396437
105	0.1298244075
106	0.1290768874
107	0.1283214469
108	0.1273691479
109	0.126577297
110	0.1259261081
111	0.1251287761
112	0.124416532
113	0.1237215243
114	0.1229764436
115	0.1222037466
116	0.1214937812
117	0.12090427
118	0.1203187441
119	0.1196996187
120	0.1190257223
121	0.1185941797
122	0.1180618487
123	0.1175556584
124	0.1170201352
125	0.1164716018
126	0.1158920087
127	0.115301082
128	0.114813112
129	0.1142580835
130	0.1137100119
131	0.1132580305
132	0.1128018329
133	0.1124177531
134	0.1118906021
135	0.1113928243
136	0.1110037553
137	0.1104735726
138	0.1100430539
139	0.1096083792
140	0.1092417064
141	0.1087791644
142	0.1083760312
143	0.1078717282
144	0.1072940023
145	0.1070157202
146	0.1066654406
147	0.1062956459
148	0.1058649364
149	0.1054481506
150	0.1050518337
151	0.1045833086
152	0.1042842664
153	0.1039805362
154	0.1035868494
155	0.1032094554
156	0.1029161955
157	0.1025479568
158	0.1022191098
159	0.1019354569
160	0.1016700142
161	0.1013477325
162	0.1010141072
163	0.1007707997
164	0.1004897067
165	0.1001525277
166	0.09974648325
167	0.09949804607
168	0.09922972227
169	0.09895780463
170	0.09857964767
171	0.09827152051
172	0.09791386253
173	0.09768152739
174	0.09724803724
175	0.09700132671
176	0.09672434957
177	0.09650163149
178	0.09628535823
179	0.09602944224
180	0.09569716203
181	0.09548431196
182	0.09531189768
183	0.09509422905
184	0.09487897973
185	0.09460521497
186	0.09434828507
187	0.09414136786
188	0.09384501608
189	0.09364370045
190	0.09343631142
191	0.093234012
192	0.09303642072
193	0.09279608476
194	0.09259140617
195	0.09225174753
196	0.09197704918
197	0.09174902063
198	0.09151860287
199	0.09126601972
200	0.09106348941
201	0.09091919347
202	0.09075467963
203	0.09055671692
204	0.0903428931
205	0.09015322234
206	0.08990314885
207	0.08961410522
208	0.0894684641
209	0.08927200719
210	0.08911599611
211	0.08893215782
212	0.08874196504
213	0.08848722357
214	0.08834459405
215	0.08818822158
216	0.08784444709
217	0.08769402755
218	0.08751836074
219	0.08733121972
220	0.08715483013
221	0.0869855178
222	0.08684103112
223	0.08671692296
224	0.08657161311
225	0.08641050238
226	0.08631352876
227	0.08620278208
228	0.08592098638
229	0.08577028576
230	0.08558811389
231	0.08548476571
232	0.08537405918
233	0.08518838381
234	0.08508774607
235	0.0849708256
236	0.08487422341
237	0.08477697874
238	0.08457804228
239	0.08436545322
240	0.08427087884
241	0.08413284201
